MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
6.7159,19.0,4.9817,1.3232,3796.0,1.4999,38.8632,-121.0406,5.0
3.6181,33.0,10.9569,1.8756,2934.0,4.4268,36.6529,-115.3558,2.9482
1.3615,10.0,3.5002,0.6334,1845.0,1.8158,40.4104,-123.4375,0.97
4.0232,11.0,2.7487,0.8667,580.0,4.4371,39.1525,-114.5337,1.1198
2.9311,45.0,2.6277,0.855,3651.0,1.3854,35.4675,-123.382,3.655
4.627,24.0,5.9012,1.6447,4433.0,1.7727,40.4065,-120.7349,3.6449
8.0411,24.0,8.4515,1.6867,1363.0,2.9733,40.1453,-118.1944,5.0
3.6179,4.0,3.1975,1.058,750.0,1.0,36.181,-115.7864,2.2525
6.2314,5.0,5.9303,1.928,1322.0,4.9332,35.2391,-123.0067,2.0832
0.5,34.0,1.0,0.5,1756.0,3.3573,38.9837,-123.0325,1.9187
0.5,16.0,3.6531,1.1056,4342.0,4.9023,33.8276,-117.9649,0.3
3.1671,15.0,1.2282,0.5,4908.0,3.1086,34.3991,-121.4554,1.5631
7.4558,10.0,13.6272,4.1044,1159.0,1.7135,32.5699,-117.7972,5.0
4.6275,39.0,13.9316,4.5305,4953.0,1.3455,39.9758,-115.9659,4.8964
1.1022,48.0,5.8192,1.6626,4281.0,1.0,38.8161,-123.7005,3.6793
1.1983,14.0,1.4355,0.5,4050.0,4.317,39.1991,-115.7173,0.3
7.805,13.0,1.7667,0.5,2555.0,3.9938,39.9169,-124.1091,3.8747
1.5925,40.0,5.5775,1.0122,684.0,2.9647,36.8597,-115.1522,2.7557
1.9048,26.0,5.453,1.8965,564.0,4.1498,37.903,-114.3536,1.5556
1.964,41.0,1.0981,0.5,4979.0,3.922,33.8281,-117.5585,1.992
1.4227,39.0,3.4158,0.6895,903.0,1.8933,33.588,-114.2637,1.9965
9.645,41.0,4.6995,1.5789,2388.0,2.0747,38.8498,-115.9513,5.0
4.2127,9.0,11.1506,1.7876,1625.0,1.018,36.9754,-124.0386,3.5751
1.4791,28.0,6.8905,1.6578,4248.0,1.7419,37.8697,-124.4604,2.8894
2.8881,23.0,3.6308,0.6852,3229.0,4.6627,39.7675,-124.2837,2.2557
2.3818,45.0,11.7557,3.9361,628.0,5.3276,38.5298,-119.8002,3.5347
7.4228,34.0,13.2065,4.6124,2750.0,1.0,37.759,-118.0168,5.0
4.4827,38.0,8.2693,1.4238,544.0,2.9991,37.8125,-119.4927,4.3521
0.9464,45.0,1.42,0.5,4955.0,1.0,35.3875,-117.4578,2.5737
3.8868,36.0,4.3416,0.7083,2916.0,4.2174,32.7928,-119.8241,3.4538
3.7346,34.0,3.4433,1.1627,4947.0,1.381,36.6488,-124.0573,3.7299
0.5,28.0,3.0893,1.0324,3212.0,2.6228,34.5386,-122.1479,1.023
0.5,5.0,12.0531,3.7368,1658.0,2.8265,36.381,-114.1767,0.7416
1.2061,37.0,12.8447,1.9952,1701.0,1.0,40.6073,-120.903,2.8903
14.1523,17.0,3.5649,0.7256,2023.0,5.4432,34.7224,-121.1224,5.0
1.843,7.0,4.1506,1.067,2038.0,2.3836,33.0539,-122.911,1.0546
1.2415,18.0,1.716,0.5,275.0,1.0912,35.1731,-114.2337,1.0823
4.5313,18.0,11.1891,2.6654,3223.0,6.5036,35.2891,-122.1032,2.8816
3.2456,20.0,9.5175,2.7414,2815.0,1.8008,38.7882,-117.773,3.4459
2.2394,15.0,2.897,0.5192,3355.0,1.0,37.7918,-124.0627,2.9294
4.4115,49.0,3.1699,0.8765,928.0,1.6671,39.947,-123.8087,4.4686
0.6578,46.0,6.604,1.1878,3382.0,3.8089,38.811,-117.0458,2.0716
1.9286,2.0,6.5233,1.3238,2128.0,2.5493,36.3607,-117.8943,0.9627
3.3568,26.0,5.0569,1.3567,825.0,1.0,40.2332,-117.4263,3.2409
8.8611,16.0,9.043,2.6046,1574.0,1.1459,34.0862,-122.0979,5.0
3.7394,44.0,7.2519,1.4221,243.0,3.4271,32.7158,-114.2572,2.9986
3.598,26.0,5.9819,1.2685,3075.0,6.223,33.3555,-118.6929,2.0719
3.2912,33.0,3.4491,1.0432,2572.0,2.1887,39.3624,-114.4167,2.5017
5.447,5.0,7.3899,1.9625,1356.0,1.5073,36.8878,-122.7926,4.1767
5.7426,37.0,5.9637,1.2653,617.0,1.0,34.0321,-120.287,5.0
0.9167,25.0,3.6563,0.9493,2294.0,2.3367,37.2599,-121.0089,1.0801
15.0,45.0,3.8811,0.6833,2877.0,4.097,33.947,-116.6472,5.0
1.4743,6.0,2.8921,0.6772,2528.0,1.5385,39.115,-116.7253,0.3642
1.6099,16.0,5.6086,1.7248,1356.0,3.6472,36.7385,-119.4399,0.3
3.8562,43.0,8.3182,2.7118,2407.0,3.5753,36.1197,-124.3321,4.3785
1.7337,12.0,2.097,0.5,563.0,1.0,35.3644,-122.6779,1.7359
6.0809,14.0,3.7567,1.0906,2374.0,1.0,38.4877,-123.9772,4.6524
6.1019,16.0,8.6329,1.3138,2641.0,1.1901,35.9372,-115.691,4.4689
2.7934,27.0,4.2135,1.2593,1898.0,1.7428,33.3327,-121.4864,2.1493
3.5518,3.0,5.1514,1.648,1348.0,5.6303,33.6211,-123.2736,1.4664
3.3312,32.0,2.521,0.8435,1783.0,1.626,41.638,-120.8166,2.9802
2.1973,42.0,2.3405,0.5,3766.0,5.2442,41.1315,-123.6962,2.4284
5.8432,16.0,3.6474,0.5558,1654.0,4.8632,39.1472,-114.3199,2.4178
2.3843,9.0,4.4206,0.9889,1502.0,2.2781,35.0258,-121.2239,2.4174
5.3413,18.0,6.4644,1.2985,3087.0,1.2396,41.7072,-114.7961,2.9723
11.4431,33.0,12.0077,2.7891,4772.0,1.0,39.8981,-117.3996,5.0
8.7111,27.0,2.3179,0.5,2361.0,1.0,39.3105,-118.6125,5.0
4.1374,31.0,1.5296,0.5,3686.0,5.0568,36.7689,-119.5548,2.584
3.7763,42.0,1.3926,0.5,2929.0,1.0,35.0863,-117.3512,3.8762
1.3386,49.0,5.5362,1.2674,1452.0,1.6019,33.4157,-117.3627,3.6474
5.0263,24.0,6.5085,1.8911,4171.0,4.2187,41.0747,-124.3906,3.3421
1.7648,39.0,3.0687,0.6715,2173.0,1.0,36.8299,-115.059,3.007
3.4006,26.0,5.296,1.3989,1921.0,2.6392,34.4225,-120.6732,3.5635
7.1402,8.0,9.1552,2.2013,2988.0,1.3477,35.4066,-120.826,5.0
10.0531,31.0,4.1781,0.9043,494.0,1.5239,38.0026,-120.2715,5.0
5.8474,49.0,3.9271,0.6348,3170.0,2.3975,34.1793,-117.3731,5.0
5.4596,22.0,2.0268,0.5,3710.0,1.0,40.6378,-120.5894,3.4763
9.4014,28.0,6.2778,1.5274,3743.0,6.596,39.7059,-120.6122,5.0
3.9518,38.0,2.8676,0.6037,1913.0,1.4628,39.3349,-123.84,3.3598
0.7221,43.0,7.2933,2.511,3793.0,1.6629,36.6049,-120.1669,3.3055
3.2893,1.0,4.1022,0.7683,2227.0,2.8624,38.4594,-122.9454,1.1534
3.4483,3.0,4.4084,1.0025,1628.0,1.0,38.0489,-115.6019,2.1923
2.1266,25.0,1.1258,0.5,411.0,3.3739,38.6735,-121.0211,1.7351
3.2551,6.0,9.3211,1.9006,3010.0,3.7885,33.3022,-114.507,1.8888
5.4477,48.0,8.0743,2.0282,367.0,3.5662,36.4502,-117.3809,5.0
0.8688,36.0,2.8064,0.8246,4960.0,1.0,32.8953,-116.636,0.8517
6.0299,32.0,7.3673,2.5213,1232.0,1.1523,37.1929,-114.6434,5.0
3.4685,30.0,2.2714,0.5867,1158.0,1.0,35.6337,-122.0151,4.4298
8.3601,25.0,7.4468,2.2034,1750.0,1.0,33.873,-118.6002,5.0
0.6073,3.0,6.5774,2.0496,1685.0,1.1862,33.4823,-124.0765,1.0719
3.2083,40.0,11.4935,2.5241,3608.0,1.8464,38.0826,-123.4521,4.4818
6.1177,25.0,6.464,1.5621,2989.0,3.3272,34.1206,-120.6875,4.4381
2.2321,21.0,2.6305,0.8501,628.0,1.0,41.2886,-117.402,2.2977
2.6102,23.0,5.3177,1.4773,2439.0,6.5796,38.0201,-115.8504,0.7613
4.7441,24.0,4.036,0.6196,1986.0,2.2982,35.7953,-121.8334,4.0045
5.3995,49.0,11.0947,3.6561,2683.0,2.5211,38.1137,-116.7096,4.6552
5.502,10.0,1.615,0.5,3130.0,1.0,32.7166,-122.1674,3.631
9.8108,10.0,5.181,1.5211,4846.0,2.0755,41.6063,-124.437,5.0
1.0732,7.0,2.5441,0.5558,4285.0,1.2795,37.0819,-123.9341,1.043
1.764,32.0,12.8342,3.2773,2488.0,2.1051,39.936,-118.4102,2.7733
1.2099,2.0,5.5444,1.3705,1909.0,2.167,33.2859,-119.3297,0.3
2.3594,41.0,6.8528,1.1212,3193.0,6.4077,37.1233,-121.6876,1.9406
2.3855,38.0,4.0705,0.9311,1247.0,4.6,37.1617,-124.4319,2.6208
2.5347,37.0,7.5294,1.5035,1395.0,5.624,41.4094,-118.5927,1.8636
0.5,24.0,2.6356,0.7109,4990.0,2.0806,37.9314,-115.9969,0.9956
3.1722,21.0,2.7617,0.9441,2476.0,1.1665,36.9981,-123.7871,3.4188
0.8017,48.0,11.0083,3.3673,3748.0,4.7671,35.0363,-116.8407,2.6505
1.7844,43.0,18.2835,5.0,3489.0,1.6663,35.6499,-117.9008,3.4226
1.7313,10.0,1.2356,0.5,1936.0,1.0,37.4464,-119.5147,1.5028
3.1468,14.0,3.3081,0.5297,1106.0,3.4821,36.6697,-123.9972,2.4923
5.2724,13.0,9.0906,1.8087,2849.0,5.9478,32.7053,-114.8949,2.41
3.825,25.0,6.5663,1.6167,4646.0,5.8723,40.3498,-119.5346,2.2384
15.0,33.0,2.8978,0.6429,4120.0,3.055,41.0135,-120.3441,5.0
1.1123,12.0,3.9165,0.948,4112.0,3.299,33.8324,-115.5407,0.6241
6.5799,3.0,3.0631,0.9934,1818.0,5.3373,37.7633,-115.706,1.6283
8.5372,20.0,7.1607,1.0926,3646.0,1.0,33.5315,-116.9365,5.0
6.2048,26.0,2.8898,0.5557,1520.0,6.3982,38.8863,-115.8747,2.4374
4.7686,35.0,3.9586,1.3602,1350.0,2.104,35.1717,-123.207,4.6715
7.4358,7.0,7.9724,2.1589,311.0,2.5444,38.7645,-116.5865,4.063
2.8949,36.0,5.9356,1.327,1721.0,2.9465,39.4064,-121.0884,4.034
8.9946,9.0,9.8255,1.8708,1552.0,2.5235,39.8022,-115.4781,5.0
1.0762,15.0,2.8221,0.6655,461.0,4.6934,33.5235,-120.6496,0.3
4.9976,27.0,3.855,1.2019,4276.0,10.0,41.2021,-123.9352,1.2343
4.7176,6.0,2.5917,0.897,1496.0,1.9837,34.687,-120.1904,3.8034
5.0926,30.0,3.4719,0.7038,4506.0,5.9616,32.8554,-116.6295,2.801
7.4963,2.0,1.7918,0.5575,3122.0,3.2837,37.7711,-119.2903,3.447
10.0667,11.0,1.0,0.5,1625.0,1.0,36.0238,-116.5582,5.0
5.9349,29.0,1.5796,0.5,3048.0,3.8367,40.383,-124.1332,4.1164
5.7417,14.0,8.1901,2.6086,4887.0,4.0525,40.1784,-122.6575,3.6602
2.6073,23.0,1.6884,0.5,3803.0,1.9837,35.5128,-118.6385,2.2358
2.0345,15.0,6.3897,1.8607,4970.0,1.0,41.5525,-120.4927,2.1899
3.7231,26.0,3.6005,1.2332,3586.0,2.0971,35.2637,-117.4262,3.1649
5.5905,8.0,4.0359,1.1414,1693.0,3.9779,37.393,-114.4894,2.7145
5.1206,8.0,1.8469,0.5,351.0,5.4773,34.9317,-117.6374,2.3611
0.5,50.0,3.1563,0.5256,310.0,2.3844,41.3924,-120.1594,1.7658
4.7372,17.0,5.5986,1.0832,493.0,9.5786,34.0638,-118.8594,0.8685
3.4033,36.0,1.7135,0.5,3724.0,1.4525,32.9267,-115.0066,3.6263
4.8986,1.0,3.007,0.5508,4265.0,3.0278,36.6334,-117.5009,2.6564
1.834,6.0,5.0362,0.8484,539.0,3.3927,41.9276,-116.1469,0.3
13.1523,41.0,6.4901,2.1165,1493.0,2.1613,40.9709,-121.3642,5.0
7.0184,19.0,4.1354,0.7823,444.0,1.0,39.6118,-116.7591,4.5619
2.9326,16.0,13.0925,4.2246,4559.0,1.1228,40.9625,-123.0499,2.3147
2.5811,9.0,4.887,1.6491,3237.0,9.0998,40.9877,-116.7023,0.3
5.5213,14.0,7.3915,1.7233,3068.0,1.0,37.4292,-115.3318,4.0232
3.4493,12.0,5.6213,1.1608,4487.0,2.4145,35.5013,-115.1376,1.929
6.9244,41.0,3.6587,1.1338,4486.0,6.6498,39.8341,-123.2875,4.9319
3.6898,48.0,1.027,0.5,410.0,1.512,38.7858,-115.8692,4.6478
6.6343,2.0,7.995,1.4337,2678.0,1.5989,36.0497,-123.3567,4.7124
6.1866,7.0,7.9386,1.7271,3669.0,1.0,33.3974,-119.5247,4.1953
3.5474,32.0,12.796,3.8888,3212.0,1.0,39.5945,-117.4018,3.8033
1.4059,45.0,3.6849,0.5566,3780.0,1.0,34.9934,-119.4638,3.1328
0.5,17.0,15.7921,3.5655,1082.0,1.5931,41.3997,-120.9649,2.4315
6.5735,43.0,7.6605,1.3375,1300.0,3.8195,34.7892,-117.3883,5.0
1.1551,1.0,9.8739,3.09,4994.0,3.7403,33.6662,-117.6269,0.3
2.9173,38.0,1.9484,0.5,1068.0,3.0167,40.3956,-118.4379,2.4774
4.2306,49.0,5.1981,1.423,2007.0,2.0169,33.9562,-119.0043,3.6058
7.4979,26.0,11.5897,3.0703,4899.0,5.9894,34.203,-117.1603,5.0
1.8445,30.0,1.9173,0.6439,3394.0,3.9676,38.1941,-120.3084,1.6988
6.8489,14.0,1.0,0.5,1093.0,1.1347,40.8083,-123.7848,4.6333
4.3168,41.0,3.4785,0.8563,3975.0,1.8147,34.3661,-118.9105,3.2401
0.7511,43.0,13.1896,4.339,1684.0,1.65,35.4481,-116.9761,3.1027
3.9228,43.0,10.4961,2.6855,4190.0,4.9029,39.8853,-121.3887,3.996
1.3917,43.0,4.843,1.657,1293.0,2.2751,41.7324,-123.0362,2.4409
0.5511,4.0,3.0469,0.604,4113.0,4.8545,37.257,-115.0169,0.3
7.275,27.0,6.9148,1.701,1545.0,2.8088,33.867,-115.517,5.0
1.0055,26.0,10.5142,3.2659,471.0,2.7482,32.6324,-118.0683,2.374
1.9548,3.0,7.6593,1.8335,2479.0,2.1729,34.6817,-116.3193,0.8743
7.4827,41.0,11.4669,2.2945,888.0,2.8994,33.7523,-114.4244,5.0
5.5668,10.0,11.5049,1.9794,1568.0,2.7008,38.9378,-118.5797,3.8102
2.5855,22.0,6.5189,2.0831,4054.0,8.6018,33.6574,-121.9605,1.2599
2.7247,3.0,7.921,1.4132,1239.0,1.0,37.3101,-117.8564,1.2862
3.5537,41.0,5.6184,0.9932,2210.0,1.0,39.0955,-114.9882,3.8869
0.7673,10.0,1.1421,0.5,4402.0,4.6989,38.0206,-117.3225,0.3
0.5,27.0,5.7434,1.929,1862.0,3.1817,34.3979,-124.2271,1.8561
3.8432,26.0,1.9548,0.5193,2102.0,1.0,40.1392,-114.9618,3.9309
5.6124,5.0,1.7322,0.5,1534.0,6.3106,39.2964,-116.6618,1.523
1.0633,44.0,9.0857,3.0311,2150.0,1.9126,39.5203,-120.321,2.0363
2.9152,1.0,3.3265,0.6871,3163.0,1.9467,33.745,-114.2301,0.9803
7.0523,34.0,4.2484,0.659,1717.0,3.5315,33.6757,-116.9945,5.0
3.5195,9.0,2.4,0.532,3257.0,10.0,41.3118,-115.9154,0.3
5.7103,31.0,2.7207,0.751,327.0,2.6108,36.277,-114.6911,4.5423
2.0479,12.0,4.6904,1.5412,2081.0,1.0,35.359,-124.0884,2.86
4.0361,39.0,5.9989,1.6474,2174.0,2.483,37.1415,-116.446,4.6605
8.8377,29.0,4.5019,1.2018,1095.0,3.2752,38.7972,-120.482,5.0
1.9992,33.0,6.7944,1.9984,3091.0,1.8613,41.5784,-115.4616,2.7246
1.8692,51.0,8.2212,1.5765,4195.0,1.3929,35.2212,-115.3595,3.6468
2.2998,23.0,1.357,0.5,1017.0,3.8397,41.2857,-115.8824,0.537
1.3979,39.0,7.0573,1.8908,2056.0,1.1873,32.7362,-116.3963,2.941
2.8291,42.0,5.7374,1.4699,4943.0,7.6673,37.7744,-116.2395,2.3183
3.4151,17.0,5.6641,1.5752,2309.0,4.5943,38.5228,-121.4159,1.7705
6.0133,16.0,2.0673,0.5,4913.0,8.9066,33.506,-120.2721,1.8777
3.2061,37.0,3.7938,1.0479,2895.0,1.25,33.8332,-123.3034,4.0556
3.6095,48.0,7.4184,1.2896,3911.0,4.8045,36.4816,-115.8618,4.5856
4.0215,1.0,1.8292,0.5,2103.0,3.4823,41.6792,-117.7815,0.7205
2.1213,6.0,17.6391,5.0,3214.0,1.0,38.1624,-118.1277,2.9685
3.7235,9.0,9.1045,1.6325,1651.0,4.8583,41.3637,-121.9408,1.175
0.9458,33.0,2.5336,0.5838,1026.0,1.441,40.1414,-118.1036,2.0594
12.5637,22.0,4.0061,1.1066,3381.0,2.307,36.9401,-119.7727,5.0
4.8254,26.0,1.647,0.5,2742.0,2.8196,39.9553,-114.1492,2.4271
5.8199,17.0,9.3232,1.7026,1812.0,1.3008,32.6694,-115.5241,3.82
2.8805,22.0,4.5485,0.985,2540.0,2.351,33.5369,-119.0298,3.0509
1.0354,40.0,5.8717,0.9007,4417.0,2.7192,40.3796,-116.0921,1.9131
10.1296,22.0,5.0914,1.5744,1156.0,1.0,40.0698,-122.7891,5.0
3.0266,21.0,7.7429,2.4209,4637.0,3.2018,34.7101,-123.4454,2.4201
2.7041,3.0,2.4892,0.6389,3877.0,8.5516,37.5423,-117.9412,0.4325
0.6228,20.0,20.0,5.0,4041.0,5.8214,38.2572,-116.9414,0.3
2.974,39.0,7.7469,1.3329,1276.0,5.3951,40.7435,-123.9482,2.7428
7.4007,7.0,8.3732,2.3253,3932.0,1.0,38.2295,-122.41,5.0
1.7296,18.0,6.1841,1.1759,729.0,2.6636,36.4194,-118.9124,1.0112
1.6297,15.0,2.447,0.5377,4078.0,1.0,36.0547,-123.8467,1.833
3.4289,25.0,4.0353,0.6412,4499.0,1.0,36.5459,-120.0899,3.543
2.8939,42.0,3.6659,0.6512,4473.0,1.0,38.6933,-119.4864,4.367
2.5219,44.0,10.3445,2.3074,4331.0,4.0637,40.7412,-114.9132,2.8463
1.7533,20.0,2.6729,0.7062,3082.0,4.8547,36.812,-121.217,1.5502
2.8502,30.0,5.2997,1.3103,3468.0,3.0194,34.8545,-122.7458,2.6867
5.4254,42.0,1.9116,0.6601,3514.0,4.4255,34.7483,-124.4219,3.8087
0.6653,44.0,7.6234,2.3627,892.0,1.0,39.5871,-123.2353,3.2695
7.5478,31.0,3.1201,0.5009,2315.0,1.1697,40.2574,-116.691,5.0
6.4953,7.0,8.115,1.2615,338.0,3.3266,33.5001,-119.8728,3.5512
2.4638,20.0,9.6797,3.2074,1435.0,4.1549,33.1323,-122.4333,1.2837
6.1314,15.0,15.1891,3.8812,863.0,3.2965,38.1471,-114.7965,3.5671
2.2222,35.0,4.6319,1.6084,4260.0,1.0,33.8886,-116.3096,2.5025
7.5755,12.0,6.1315,0.9669,3479.0,5.2925,40.3343,-123.3106,4.0091
2.3298,2.0,5.0466,1.6845,1928.0,1.1992,35.4482,-121.7028,2.434
2.2707,46.0,3.958,1.1237,781.0,1.0,33.8668,-115.6658,3.5046
0.5,6.0,8.9386,2.1953,4747.0,3.4165,41.2492,-117.2987,0.3
2.169,40.0,3.8043,0.7749,2451.0,6.8073,34.0726,-114.6663,0.954
1.7927,49.0,7.7951,1.9649,4959.0,4.4439,35.2048,-123.707,1.8022
4.597,43.0,1.0,0.5,1567.0,2.6422,33.9593,-116.4357,4.5716
3.2574,25.0,3.106,0.605,2844.0,1.3279,33.5972,-123.7053,4.1634
2.953,30.0,9.0924,2.872,474.0,5.9486,32.7009,-120.9987,2.0746
3.3073,37.0,5.2316,1.6754,3056.0,1.0,33.0263,-116.693,3.8813
10.4461,12.0,9.9192,2.757,3722.0,4.9175,34.1591,-117.1055,5.0
1.6478,22.0,5.3321,1.3483,4009.0,2.4184,33.0071,-124.478,1.8986
0.5,20.0,8.6729,2.8717,4593.0,1.0143,38.1159,-122.3998,1.0008
2.8253,14.0,3.0582,0.6796,1019.0,3.5091,38.9668,-116.4028,1.7239
4.3767,29.0,7.8814,2.1613,1917.0,1.8137,36.2395,-123.1881,5.0
1.0039,22.0,6.9872,1.6709,2746.0,1.4793,35.5209,-121.1057,1.9223
15.0,1.0,4.8638,1.0341,3311.0,1.3285,37.293,-122.5875,5.0
9.7608,5.0,8.7593,2.9369,975.0,4.0034,40.8125,-123.3409,5.0
6.8889,33.0,9.6248,1.9336,494.0,1.1978,40.5858,-115.7991,5.0
2.8498,29.0,8.2573,2.2903,2471.0,9.1873,32.913,-123.862,0.6581
9.4122,44.0,8.9579,1.841,1024.0,3.8621,34.2242,-118.9251,5.0
2.5415,4.0,7.0037,1.8963,2530.0,1.9686,34.7491,-117.2962,1.2114
0.5175,17.0,2.242,0.6769,283.0,1.513,34.8692,-123.9011,0.3
3.6062,20.0,5.6745,1.3639,2491.0,2.5736,37.9267,-117.9124,2.0713
7.0378,35.0,4.9132,1.1637,4452.0,3.7955,36.4545,-121.0257,5.0
1.9655,23.0,6.5447,1.6262,2590.0,2.6722,32.9679,-115.8311,1.9732
5.4717,25.0,9.711,2.4971,665.0,5.3508,36.0493,-116.2043,4.7291
2.1283,47.0,8.4309,2.1266,910.0,2.6561,37.4757,-116.2434,4.1132
3.8285,1.0,8.1422,1.4812,3579.0,4.6353,33.4659,-120.3539,1.1407
0.5312,46.0,1.0,0.5,320.0,4.2227,40.4179,-115.9455,0.7024
0.9949,15.0,4.9926,1.5079,568.0,1.907,32.9936,-117.9482,0.3691
2.3994,3.0,3.9609,1.1742,470.0,2.5325,41.286,-120.5617,1.2503
7.3545,27.0,7.5071,2.1196,3986.0,4.5819,33.4416,-123.661,4.8631
0.8742,11.0,11.167,2.5558,1025.0,1.0,40.514,-123.8051,2.3211
1.3492,37.0,6.2963,1.6157,4957.0,3.6456,41.0752,-121.8854,1.4804
2.4995,39.0,1.8619,0.5729,4845.0,3.0207,41.8059,-121.3843,3.4754
2.2456,21.0,5.3227,0.9461,3606.0,1.0,40.1192,-114.8537,2.4074
6.2169,40.0,1.0,0.5,3751.0,1.0,39.905,-114.1006,5.0
6.7585,10.0,9.1179,2.2187,697.0,1.0,38.6036,-123.0058,5.0
4.6881,18.0,3.8726,1.0706,2353.0,1.9381,39.9005,-114.6952,2.7813
6.4333,4.0,10.3203,3.0375,2362.0,1.9515,33.7782,-117.152,4.1221
2.4535,33.0,10.5205,2.0362,1252.0,2.2463,37.5926,-119.3145,2.6577
6.3668,37.0,11.853,2.217,1847.0,3.0463,37.3851,-114.5713,5.0
2.9517,39.0,3.8232,0.6897,1517.0,1.0,40.6469,-117.0776,2.7117
5.5925,19.0,16.3683,4.5442,2606.0,3.5288,36.8966,-118.326,4.5402
3.5108,43.0,10.29,2.7731,436.0,5.0511,36.1584,-122.3209,3.6051
0.5,34.0,4.039,0.7504,542.0,2.5841,38.5759,-121.9578,1.7327
4.5288,30.0,11.0427,2.9798,3798.0,2.5838,35.0314,-115.0204,3.9918
5.6246,12.0,3.9124,1.2003,4610.0,2.7544,33.8278,-122.2636,3.462
6.7108,43.0,6.6819,1.2018,2868.0,6.1345,37.0398,-124.164,5.0
0.7768,39.0,7.9092,1.5142,1363.0,2.5842,36.4604,-121.7312,2.0509
2.5107,45.0,7.5556,1.4673,1980.0,2.3478,34.7094,-119.5022,3.1462
5.3564,18.0,3.189,0.9015,3568.0,1.8991,35.9914,-120.5276,3.7587
3.3315,29.0,11.6197,3.8248,4244.0,1.173,35.9807,-114.7676,3.4277
7.6158,3.0,9.3958,1.5087,2486.0,1.6799,35.6112,-120.1468,5.0
0.8981,31.0,13.7442,4.4231,3299.0,2.0109,36.1049,-115.2539,2.189
1.2798,27.0,11.4666,2.667,4357.0,3.2084,39.0146,-118.3155,1.7221
